,,,,,,,,,
Pre-hit context,Hit string,Post-hit context,File name,Transcript ID,Speaker ID,Speaker gender,Speaker role,Speaker native speaker status,
p.     the,like,six pictures    well, Senior Thesis Study Group ,SGR999SU146,S1,F,SU,NS,
   ma- does it help to bind them or something,like,that?     , Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
   the Robbie aw-  i told you about this cuz you're,like,oh i don't wanna go cuz i'm not gonna get one.   , Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
"membered like, when i was logging off like, and suddenly like all the lights went out and everything",like,i didn't think anything of it cuz i had like kinda closed my  email  so i'm lik, American Family Group Project Meeting ,SGR565SU144,S4,F,SU,NS,
"fred does. right? she can't be saved by men the way Offred can be saved (by men.) i like that, and i",like,"the stuff about Nick and, her relationship to Nick, versus her relationship to the Commander, becaus", English Composition Seminar ,SEM300MU100,S1,M,JF,NS,
"cause you can run it without, and you can run it with and you can compare what the pulse shapes look",like," and you can also  compare what the best fitness was and if, if you seriously d", Physics Research Group Meeting ,MTG485SG142,S3,M,JG,NS,
  Math one-sixteen is killing me i am  am,like," i am like, not doing good at it at all. in that class. and i don't know why cuz i i thou", Academic Advising ,ADV700JU047,S6,F,JU,NS,
" the movies and stuff that i've watched, without it being like, i like i did this i was trying to be",like,Wendy watched this but   i used, American Family Group Project Meeting ,SGR565SU144,S1,F,SU,NS,
  actually no but i put down the ones that were in the book. but they're pretty close i got,like,", (i got) like point-four-oh-five and i got, point-three-nine-five.   ", Heat and Mass Transfer Office Hours ,OFC195SU116,S13,M,SU,NS,
"  right he, he only like understood death by how the movie portrayed it.",like,"big deal like, another one, like in T- in T-two like, thousands of people die. you know to him  ", Intro Anthropology Discussion Section ,DIS115JU087,S2,M,JU,NS,
